accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-0.059326272,0.00137376,0
-0.057128832,0.001922112,0
-0.054931392,0.001922688,0
-0.052735104,0.001373184,0
-0.050536512,0.001647936,0
-0.048340224,0.001373184,0
-0.046691712,0.00137376,0
-0.043945344,0.001373184,0
-0.041747904,0.001098432,0
-0.040099968,0.001373184,0
-0.036804672,0.001099008,0
-0.036804096,0.001098432,0
-0.032409216,0.000548928,0
-0.031860864,0.001099008,0
-0.028014912,0.000824256,0
-0.028014912,0.000548928,0
-0.024170112,0.001098432,0
-0.022522176,0.000549504,0
-0.020599488,0.000274752,0
-0.018127296,0.000549504,0
-0.015929856,0.000549504,0
-0.014007744,-5.76E-07,0
-0.012085056,0.000549504,0
-0.00906336,-0.000274752,0
-0.007965504,0.000549504,0
-0.00521856,-5.12E-13,0
-0.002746368,-0.000274752,0
-0.001098432,5.12E-13,0
0.00082368,0,0
0.004119552,-0.000274752,0
0.004395456,-0.000548928,0
0.007964352,-0.000274752,0
0.010162368,-0.000549504,0
0.011810304,-0.000549504,0
0.014282496,-0.000274752,0
0.015930432,-0.00082368,0
0.018676224,-0.00082368,0
0.020599488,-0.000824256,0
0.022796928,-0.001099008,0
0.02471904,-0.000274176,0
0.027190656,-0.001647936,0
0.029114496,-0.001099008,0
0.031036032,-0.00082368,0
0.03433248,-0.001647936,0
0.03515616,-0.00082368,0
0.037902528,-0.001648512,0
0.040375296,-0.001373184,0
0.041747904,-0.001647936,0
0.044494272,-0.001373184,0
0.046142784,-0.001922688,0
0.049163904,-0.001922112,0
0.050537088,-0.001099584,0
0.053008704,-0.00247104,0
0.054931968,-0.001648512,0
0.057678336,-0.002471616,0
0.05905152,-0.001647936,0
0.061523136,-0.002472192,0
0.063995328,-0.001647936,0
0.065918592,-0.002746368,0
0.067565376,-0.002746944,0
0.071136576,-0.001922112,0
0.071411328,-0.002472192,0
0.074981376,-0.002746368,0
0.076629312,-0.002472192,0
0.078827904,-0.00302112,0
0.081023616,-0.002746368,0
0.083221056,-0.002746944,0
0.084869568,-0.00302112,0
0.087891264,-0.00302112,0
0.0898128,-0.003021696,0
0.09118656,-0.003295296,0
0.09420768,-0.003021696,0
0.096130368,-0.003570048,0
0.098327808,-0.003021696,0
0.100524672,-0.003845376,0
0.102172608,-0.003020544,0
0.104920128,-0.003845952,0
0.106841664,-0.003570048,0
0.109313856,-0.003845376,0
0.110961792,-0.003845376,0
0.11343456,-0.0038448,0
0.11535552,-0.003845376,0
0.117828864,-0.003845376,0
0.119750976,-0.004120128,0
0.121948416,-0.004394304,0
0.12414528,-0.004119552,0
0.12634272,-0.004120128,0
0.12854016,-0.004669056,0
0.130737024,-0.004120128,0
0.132385536,-0.004669056,0
0.135131904,-0.004394304,0
0.137054592,-0.004944384,0
0.139525632,-0.00466848,0
0.140625792,-0.00439488,0
0.144195264,-0.00521856,0
0.145568448,-0.004943808,0
0.148315968,-0.004943808,0
0.149139072,-0.004944384,0
0.152985024,-0.005217984,0
0.15408288,-0.00521856,0
0.156006144,-0.00521856,0
0.15930144,-0.005217984,0
0.160125696,-0.00576864,0
0.163696896,-0.005217984,0
0.165068928,-0.006042816,0
0.167266944,-0.004943808,0
0.168915456,-0.006316992,0
0.171935424,-0.005492736,0
0.173858688,-0.005493888,0
0.175781376,-0.006316992,0
0.178527744,-0.00604224,0
0.179351424,-0.00604224,0
0.1829232,-0.006042816,0
0.184569408,-0.006042816,0
0.186768,-0.006316992,0
0.188415936,-0.006591168,0
0.19143648,-0.00659232,0
0.193084416,-0.006042816,0
0.195556608,-0.006591168,0
0.196930368,-0.006591744,0
0.19967616,-0.006867072,0
0.201874176,-0.00686592,0
0.204345216,-0.00659232,0
0.206269056,-0.007140672,0
0.207641088,-0.006866496,0
0.210937536,-0.007141248,0
0.21231072,-0.006866496,0
0.215057088,-0.007415424,0
0.216431424,-0.007141248,0
0.219451392,-0.007690752,0
0.2205504,-0.00686592,0
0.223846848,-0.007965504,0
0.226043712,-0.007141248,0
0.226867392,-0.007690176,0
0.230438016,-0.007964928,0
0.2315376,-0.007690752,0
0.234557568,-0.007690176,0
0.23620608,-0.007965504,0
0.23840352,-0.007964352,0
0.240875136,-0.007965504,0
0.24224832,-0.008240256,0
0.245544768,-0.008239104,0
0.2466432,-0.007964928,0
0.249388992,-0.008515008,0
0.251312832,-0.008513856,0
0.130737024,-0.089264448,0
0.008514432,-0.170012736,0
0.00823968,-0.168640704,0
0.008515008,-0.166992192,0
0.0076896,-0.165893184,0
0.00878976,-0.165344832,0
0.007964352,-0.163420992,0
0.008240256,-0.162048384,0
0.00823968,-0.161499456,0
0.007690752,-0.159850944,0
0.008239104,-0.15847776,0
0.007965504,-0.157378752,0
0.007964928,-0.156280896,0
